ydgdp,cs_index_ret,cs_index_vol,savgnatshock,savgpolshock,savgrevshock,savgtershock,countrycode,timecode
1.432789,.4753165,-2.200028,0,0,0,0,3,70
1.28587,.6348398,-2.218361,0,0,0,0,3,71
2.268853,.7569942,-1.846075,0,0,0,0,3,72
3.396681,-.7670835,-.9068944,0,0,0,0,3,73
4.157318,-.0307252,-.2927073,0,0,0,0,3,74
4.701779,-.2028519,-.1743389,0,0,0,0,3,75
4.624884,-.2208028,-.4323879,0,0,0,0,3,76
4.061921,1.167969,-1.218264,0,0,0,0,3,77
3.866422,.3921344,-2.115615,0,0,0,0,3,78
3.49078,.4744068,-2.506006,0,0,0,0,3,79
3.407079,.589378,-2.369549,0,0,0,0,3,80
3.544619,.364669,-2.401854,0,0,0,0,3,81
3.288074,.0225157,-2.295758,0,0,0,0,3,82
3.35344,-.0841061,-2.085484,0,0,0,0,3,83
3.099063,-1.262716,-1.518746,0,0,0,0,3,84
2.203493,-1.173842,-1.485141,0,0,0,0,3,85
2.013614,-.41544,-1.370847,0,0,0,0,3,86
1.96925,-.5911533,-1.513868,0,0,0,0,3,87
1.815917,.0028234,-2.010454,0,0,0,0,3,88
2.888627,.0540077,-2.034413,0,0,0,0,3,89
2.691058,-.2839747,-2.350045,0,0,0,0,3,90
2.317185,-.2462349,-2.193182,0,0,0,0,3,91
1.518582,-.2388348,-2.214296,0,0,0,0,3,92
-.625802,-.1982975,-2.071415,0,0,0,0,3,93
-1.12458,.0083931,-2.101559,0,0,0,0,3,94
-1.636647,.1512693,-2.125976,0,0,0,0,3,95
-.9636149,.4365612,-2.303744,0,0,0,0,3,96
.7033832,.8355063,-2.612058,0,0,0,0,3,97
1.68091,.4836248,-2.102307,0,0,0,0,3,98
2.68798,.3087749,-2.150295,0,0,0,0,3,99
3.175098,.1926012,-2.286252,0,0,0,0,3,100
6.280162,-.2377143,-2.291646,.0713466,0,0,0,3,101
9.06342,-.5004299,-2.877811,.0713466,0,0,0,3,102
11.64714,-.0826265,-2.768361,.0713466,0,0,0,3,103
